,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
162,0,-34.547138,-97.696083,1145.191406,-170.652817,-513.078064,96.286331,81.84053,-128.784668,105.55838
163,0,-36.711716,-98.760117,1145.832642,-170.957428,-508.368561,96.022118,82.123375,-125.011909,105.614082
164,0,-38.98436,-99.7976,1146.665649,-171.028946,-503.321838,95.9422,82.448822,-121.314842,105.651825
165,0,-41.266262,-100.789795,1147.502808,-171.106125,-498.2388,95.786797,82.821892,-117.699982,105.64296
166,0,-43.602863,-101.786224,1148.369019,-171.206665,-493.373901,95.738892,83.219444,-114.217194,105.601341
167,0,-46.028332,-102.605782,1149.156006,-171.245895,-488.42688,95.633804,83.603371,-110.928619,105.566589
168,0,-48.454769,-103.45961,1149.875,-171.315933,-483.540009,95.520142,83.980591,-107.86013,105.561722
169,0,-50.937397,-104.180817,1150.418091,-171.408112,-478.48761,95.433395,84.43425,-104.982475,105.580635
170,0,-53.455856,-104.862106,1150.898071,-171.540176,-473.588593,95.352707,85.009766,-102.248718,105.606842
171,0,-55.904491,-105.473129,1151.196289,-171.483627,-468.586273,95.247162,85.64756,-99.639206,105.617691
172,0,-58.297714,-106.037674,1151.420532,-171.495804,-463.780243,95.220436,86.272507,-97.154823,105.580139
173,0,-60.404884,-106.496033,1151.567383,-171.430954,-458.671539,95.000061,86.827171,-94.779709,105.464714
174,0,-62.514931,-106.767174,1151.561768,-171.50148,-453.851929,94.984032,87.254036,-92.496628,105.291855
175,0,-64.493622,-107.033775,1151.41626,-171.652252,-448.776825,94.831017,87.555061,-90.343765,105.165451
176,0,-66.361801,-107.077454,1151.2146,-171.793488,-443.780426,94.708481,87.786194,-88.373413,105.18013
177,0,-68.216354,-107.02742,1150.927856,-172.019196,-438.698303,94.606361,87.941696,-86.545151,105.300247
178,0,-70.090607,-106.805069,1150.60083,-172.210541,-433.823303,94.518105,87.969749,-84.783379,105.464119
179,0,-71.900566,-106.565819,1150.203735,-172.287277,-428.812164,94.418068,87.90667,-83.146484,105.787643
180,0,-73.721077,-106.077881,1149.847046,-172.438599,-423.900879,94.327675,87.860344,-81.797401,106.493317
181,0,-75.401924,-105.557533,1149.459351,-172.538498,-418.888672,94.259613,87.879471,-80.823494,107.672661
182,0,-77.17025,-104.879341,1149.106445,-172.72261,-413.855682,94.196709,87.929924,-80.20639,109.278244
183,0,-78.755936,-104.075233,1148.784302,-172.965393,-408.902252,94.080475,87.963936,-79.91803,111.279984
184,0,-80.305138,-103.212837,1148.455933,-173.130234,-403.812988,93.98951,87.952904,-79.959663,113.704758
185,0,-81.845604,-102.200012,1148.19397,-173.290588,-398.771423,93.872818,87.871086,-80.333382,116.574387
186,0,-83.198029,-101.166023,1147.920166,-173.417404,-393.768494,93.810524,87.683594,-81.012756,119.866234
187,0,-84.450157,-100.038605,1147.631226,-173.568726,-388.805908,93.83165,87.357986,-81.959244,123.528351
188,0,-85.59082,-98.867561,1147.384766,-173.682861,-383.65567,93.664299,86.889,-83.200302,127.541527
189,0,-86.568764,-97.701797,1147.267822,-173.793869,-378.739899,93.759888,86.306778,-84.90992,131.960312
190,0,-87.447548,-96.510544,1147.180664,-173.894287,-373.668671,93.684296,85.631851,-87.364525,136.810745
191,0,-88.305206,-95.241646,1147.206055,-173.950226,-368.739258,93.695648,84.831764,-90.768219,141.895493
192,0,-88.915268,-94.007454,1147.245117,-174.007599,-363.614197,93.674652,83.867157,-95.141678,146.772308
193,0,-89.549408,-92.702766,1147.368774,-173.954941,-358.554047,93.611267,82.749397,-100.3797,150.980026
194,0,-90.046814,-91.431648,1147.563965,-173.929749,-353.565186,93.667297,81.512909,-106.365013,154.264847
195,0,-90.588676,-90.147881,1147.850464,-173.930954,-348.509644,93.684669,80.176773,-113.028275,156.622925
196,0,-91.071442,-88.877785,1148.187866,-173.877411,-343.58255,93.74984,78.755989,-120.358124,158.198334
197,0,-91.454849,-87.501854,1148.620117,-173.876953,-338.526459,93.71653,77.27626,-128.390442,159.157715
198,0,-91.787659,-86.200691,1148.978516,-173.816238,-333.547241,93.797478,75.776131,-137.170044,159.621063
199,0,-92.063393,-84.839348,1149.32605,-173.802643,-328.486298,93.793503,74.308098,-146.694397,159.676041
200,0,-92.359039,-83.487106,1149.599976,-173.639008,-323.44281,93.772469,72.928719,-156.881607,159.426239
201,0,-92.596298,-82.057808,1149.806763,-173.673553,-318.525513,93.803421,71.674026,-167.607559,158.947617
202,0,-92.761032,-80.640923,1149.97876,-173.514938,-313.615479,93.70018,70.556946,-178.795395,158.198654
203,0,-93.000969,-79.22908,1150.091675,-174.049698,-308.141541,93.667717,69.621635,-190.433578,157.056625
204,0,-93.161568,-77.842522,1150.192383,-174.035675,-303.112335,93.648224,68.96389,-202.523819,155.445419
205,0,-93.225708,-76.459099,1150.313477,-174.042343,-298.037354,93.646629,68.655045,-215.09079,153.396561
206,0,-93.334084,-75.111336,1150.417236,-174.062134,-293.111572,93.718956,68.686592,-228.140228,150.956955
207,0,-93.386368,-73.831398,1150.54541,-174.066284,-287.982391,93.752647,69.007561,-241.520065,148.090591
208,0,-93.314949,-72.558395,1150.670776,-174.12851,-282.837219,93.67186,69.593353,-255.01326,144.804016
209,0,-93.320282,-71.316879,1150.806641,-174.118423,-277.835602,93.659798,70.432236,-268.580109,141.250809
210,0,-93.355637,-70.147179,1150.956421,-174.117233,-272.858429,93.572769,71.450127,-282.312988,137.575272
211,0,-93.332527,-69.04364,1151.163452,-174.143646,-268.112671,93.671921,72.54937,-296.260468,133.82312
212,0,-93.265251,-68.040215,1151.335693,-174.123703,-263.221497,93.764923,73.70916,-310.41571,130.057129
213,0,-93.206329,-67.00219,1151.548218,-174.197083,-258.183044,93.698547,74.965881,-324.736786,126.455635
214,0,-93.16008,-66.11351,1151.698608,-174.076157,-253.279175,93.688828,76.318398,-339.124176,123.301788
215,0,-93.035263,-65.178894,1151.857178,-174.185532,-248.188858,93.676018,77.69017,-353.436554,120.866913
216,0,-92.858932,-64.348999,1151.986938,-174.393219,-242.804413,93.834091,78.965797,-367.546722,119.277954
217,0,-92.593567,-63.59697,1152.072021,-174.19989,-237.899857,93.69754,80.037598,-381.380707,118.506935
218,0,-92.329628,-62.935905,1152.133057,-174.06575,-233.040009,93.684845,80.828911,-394.893921,118.450775
219,0,-91.960724,-62.32233,1152.164795,-174.014954,-228.120377,93.671448,81.311264,-408.022003,118.974762
220,0,-91.519859,-61.718246,1152.162354,-173.840454,-223.078522,93.639793,81.508507,-420.680511,119.916298
221,0,-90.980316,-61.224606,1152.067017,-173.778549,-218.137573,93.707748,81.47403,-432.791779,121.105057
222,0,-90.396332,-60.902023,1151.917847,-173.705994,-213.141129,93.692398,81.265884,-444.291199,122.392693
223,0,-89.769753,-60.561279,1151.732666,-173.569702,-208.152267,93.685692,80.935471,-455.11673,123.66571
224,0,-88.909218,-60.326313,1151.447266,-173.488937,-203.182922,93.67086,80.527428,-465.192322,124.839462
225,0,-88.062691,-60.247456,1151.145264,-173.374329,-198.184799,93.664192,80.079468,-474.43689,125.858757
226,0,-87.096161,-60.223553,1150.87085,-173.296707,-193.282288,93.675995,79.598938,-482.787537,126.706856
227,0,-85.891121,-60.226707,1150.564941,-173.105042,-188.315857,93.562424,79.06057,-490.171936,127.381073
228,0,-84.755264,-60.321949,1150.224365,-173.001556,-183.547653,93.664955,78.442902,-496.475403,127.869812
229,0,-83.47364,-60.473103,1149.82666,-172.83876,-178.663498,93.660789,77.733643,-501.566101,128.174683
230,0,-81.966049,-60.662384,1149.404053,-172.674866,-173.741409,93.645958,76.926796,-505.33371,128.306824
231,0,-80.576698,-60.923885,1148.95874,-172.650421,-168.771576,93.610405,76.042877,-507.71933,128.242172
232,0,-78.980476,-61.273518,1148.472656,-172.392685,-164.004578,93.611481,75.093414,-508.732849,127.900421
233,0,-77.342484,-61.673992,1147.893188,-172.403854,-159.091156,93.639336,74.005577,-508.435242,127.145592
234,0,-75.635162,-62.218178,1147.260132,-172.214737,-154.46257,93.762566,72.655548,-506.924316,125.796646
235,0,-73.862793,-62.785946,1146.579224,-171.958328,-149.253021,93.475296,71.024872,-504.378143,123.713654
236,0,-71.933022,-63.491547,1145.793823,-171.597794,-144.302261,93.419174,69.288918,-501.121399,120.982796
237,0,-69.963417,-64.326035,1144.989746,-171.364838,-139.655334,93.736153,67.722443,-497.609009,117.978386
238,0,-67.862038,-65.269798,1144.170776,-171.275589,-134.827774,93.69706,66.532333,-494.285858,115.08857
239,0,-65.563141,-66.258972,1143.311646,-171.176285,-130.095993,93.737839,65.757607,-491.379974,112.455208
240,0,-63.284428,-67.352303,1142.47522,-171.135025,-125.490738,93.800125,65.255249,-488.716278,110.167885
241,0,-60.934479,-68.368439,1141.696899,-171.113281,-120.837692,93.610413,64.771629,-485.753754,108.502808
